unique_id,title,author,total_score,main_link,image_link,update_date,genre,pay,total_like,intro,total_episodes,mean_score,total_comments,mean_like
651673,유미의 세포들,이동건,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=651673,https://shared-comic.pstatic.net/thumb/webtoon/651673/thumbnail/thumbnail_IMAG10_3c7a2e4c-376e-4856-9f03-6ba554dcd62a.jpg,2018.08.31,episode/daily/comic,0,889480,유미와 그녀의 우당탕탕 세포들 이야기.,336,9.97,3171813,36912.94
22052,트라우마,곽백수,9.91,https://comic.naver.com/webtoon/list.nhn?titleId=22052,https://shared-comic.pstatic.net/thumb/webtoon/22052/thumbnail/thumbnail_title_22052_83x90.gif,2008.05.04,episode/daily/comic,0,5992,"황당하고 골 때리는 반전! 
Trauma(-정신적 외상)를 입을 만한 초특급 코믹 펀치! 직접 확인하세요",371,9.91,558270,684.08
498158,네이버 앱피소드,웹툰작가,9.63,https://comic.naver.com/webtoon/list.nhn?titleId=498158,https://shared-comic.pstatic.net/thumb/webtoon/498158/thumbnail/title_thumbnail_20120827180423_t83x90.jpg,2012.11.15,episode/comic,0,10769,"인기 웹툰 작가 총 출동
마침내 시작되는 네이버 릴레이 웹툰!",13,9.73,165202,5058.92
680911,무한도전 릴레이툰,무한도전&웹툰작가,9.33,https://comic.naver.com/webtoon/list.nhn?titleId=680911,https://shared-comic.pstatic.net/thumb/webtoon/680911/thumbnail/title_thumbnail_20160617193044_t83x90.jpg,2016.07.30,episode/comic,0,304726,"무한도전X웹툰작가의 뒤 없이 달리는 릴레이 웹툰이
방송과 함께 네이버 웹툰에서 여러분을 찾아갑니다.",7,9.51,288034,118220.86
15441,골방환상곡,워니/심윤수,9.92,https://comic.naver.com/webtoon/list.nhn?titleId=15441,https://shared-comic.pstatic.net/thumb/webtoon/15441/thumbnail/thumbnail_title_15441_83x90.gif,2008.12.24,episode/daily/comic,0,4113,"공감 100% 에 도전한다~ 절대 센스 Wony와 함께하는 골방 환상곡! 네이버 전격 오픈!
늑대 워니와 그의 친구 곰이 보여주는 리얼 공감 스토리~",351,9.92,888108,424.13
26316,와라! 편의점,지강민,9.85,https://comic.naver.com/webtoon/list.nhn?titleId=26316,https://shared-comic.pstatic.net/thumb/webtoon/26316/thumbnail/thumbnail_title_26316_83x90.gif,2014.05.24,episode/daily/comic,1,53203,"우리 동네 편의점도 피해갈 수 없다!!
편의점에서 일어나는 여러가지 에피소드들을 그린 본격 버라이어티 편의점 만화!!",99,9.81,587384,1470.38
409630,역전! 야매요리,정다정,9.82,https://comic.naver.com/webtoon/list.nhn?titleId=409630,https://shared-comic.pstatic.net/thumb/webtoon/409630/thumbnail/title_thumbnail_20111205161710_t83x90.jpg,2014.08.29,episode/daily/comic,0,168458,"그녀가 했으니 당신도 할 수 있다!
실패가 두렵지 않은 발칙한 요리 도전기, 포토툰으로 만나다.",140,9.85,1997099,6161.52
679519,대학일기,자까,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=679519,https://shared-comic.pstatic.net/thumb/webtoon/679519/thumbnail/title_thumbnail_20160601180804_t83x90.jpg,2018.09.02,episode/daily/comic,0,769138,"로망이 꽃피는 캠퍼스는 없다.
극사실주의에 기반한 너무나 현실적인 우리의 대학일기",236,9.97,3127363,39969.49
710747,세상은 돈과 권력,한동우/이도희,9.7,https://comic.naver.com/webtoon/list.nhn?titleId=710747,https://shared-comic.pstatic.net/thumb/webtoon/710747/thumbnail/thumbnail_IMAG10_b1079a8d-2d5e-49df-8f30-05b3e215170b.jpg,2018.08.28,episode/daily/drama/thrill,0,214273,"재벌 3세가 일반 고등학교에 들어오면서, 선생들과 학생들은 거대 자본에 굴복해 권력을 차지하기 위한 '두뇌싸움'이 난무하는 학교로 바뀐다. 이 학교의 법칙을 부수기 위해 천재 '단건우'가 전학온다.",18,9.79,80708,25409.67
15938,와탕카,우주인,9.66,https://comic.naver.com/webtoon/list.nhn?titleId=15938,https://shared-comic.pstatic.net/thumb/webtoon/15938/thumbnail/thumbnail_title_15938_83x90.gif,2006.12.29,episode/daily/comic,0,275,"와탕카='만세','지화자'
좋은 패가 들어오면 외치는 단어 와탕카! 우주인 작가님의 불타는 유머 센스에 우리 모두 와탕카!!",706,9.65,466213,10.19
