,unique_id,title_x,author,total_score,main_link,image_link,update_date,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,pay,episode_cnt,total_comments,episode_score,like_count
0,651673,유미의 세포들,이동건,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=651673,https://shared-comic.pstatic.net/thumb/webtoon/651673/thumbnail/thumbnail_IMAG10_3c7a2e4c-376e-4856-9f03-6ba554dcd62a.jpg,2018.09.04,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,336,3171813,9.974371257484998,877914
1,22052,트라우마,곽백수,9.91,https://comic.naver.com/webtoon/list.nhn?titleId=22052,https://shared-comic.pstatic.net/thumb/webtoon/22052/thumbnail/thumbnail_title_22052_83x90.gif,2008.05.04,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,371,558270,9.910485175202142,5978
2,498158,네이버 앱피소드,웹툰작가,9.63,https://comic.naver.com/webtoon/list.nhn?titleId=498158,https://shared-comic.pstatic.net/thumb/webtoon/498158/thumbnail/title_thumbnail_20120827180423_t83x90.jpg,2012.11.15,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,13,165202,9.726153846153846,10742
3,680911,무한도전 릴레이툰,무한도전&웹툰작가,9.33,https://comic.naver.com/webtoon/list.nhn?titleId=680911,https://shared-comic.pstatic.net/thumb/webtoon/680911/thumbnail/title_thumbnail_20160617193044_t83x90.jpg,2016.07.30,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,7,288034,9.51142857142857,304606
4,15441,골방환상곡,워니/심윤수,9.92,https://comic.naver.com/webtoon/list.nhn?titleId=15441,https://shared-comic.pstatic.net/thumb/webtoon/15441/thumbnail/thumbnail_title_15441_83x90.gif,2008.12.24,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,351,888108,9.921025641025627,4095
5,710747,세상은 돈과 권력,한동우/이도희,9.71,https://comic.naver.com/webtoon/list.nhn?titleId=710747,https://shared-comic.pstatic.net/thumb/webtoon/710747/thumbnail/thumbnail_IMAG10_b1079a8d-2d5e-49df-8f30-05b3e215170b.jpg,2018.09.04,episode,None,None,daily,None,None,None,drama,None,None,thrill,None,None,0,18,80708,9.794444444444444,53123
6,26316,와라! 편의점,지강민,9.85,https://comic.naver.com/webtoon/list.nhn?titleId=26316,https://shared-comic.pstatic.net/thumb/webtoon/26316/thumbnail/thumbnail_title_26316_83x90.gif,2014.05.24,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,1,99,587384,9.813434343434349,168212
7,409630,역전! 야매요리,정다정,9.82,https://comic.naver.com/webtoon/list.nhn?titleId=409630,https://shared-comic.pstatic.net/thumb/webtoon/409630/thumbnail/title_thumbnail_20111205161710_t83x90.jpg,2014.08.29,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,140,1997099,9.84785714285716,763251
8,679519,대학일기,자까,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=679519,https://shared-comic.pstatic.net/thumb/webtoon/679519/thumbnail/title_thumbnail_20160601180804_t83x90.jpg,2018.09.02,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,236,3127363,9.970255319148936,203363
9,15938,와탕카,우주인,9.66,https://comic.naver.com/webtoon/list.nhn?titleId=15938,https://shared-comic.pstatic.net/thumb/webtoon/15938/thumbnail/thumbnail_title_15938_83x90.gif,2006.12.29,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,706,466213,9.652266288951836,274
10,651663,빨간책,랑또,9.78,https://comic.naver.com/webtoon/list.nhn?titleId=651663,https://shared-comic.pstatic.net/thumb/webtoon/651663/thumbnail/title_thumbnail_20150330160324_t83x90.jpg,2015.06.21,episode,None,None,None,None,fantasy,None,None,None,None,thrill,None,None,0,26,249968,9.775384615384613,85213
11,25517,식스센스,릴레이연재,9.22,https://comic.naver.com/webtoon/list.nhn?titleId=25517,https://shared-comic.pstatic.net/thumb/webtoon/25517/thumbnail/thumbnail_title_25517_83x90.gif,2008.04.14,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,73,74654,9.229041095890413,71
12,639604,여탕보고서,마일로,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=639604,https://shared-comic.pstatic.net/thumb/webtoon/639604/thumbnail/title_thumbnail_20141030120302_t83x90.jpg,2015.04.30,episode,None,None,None,comic,None,None,None,None,None,None,None,None,1,8,80260,9.891250000000001,164483
13,113121,겨울동화,심윤수,9.89,https://comic.naver.com/webtoon/list.nhn?titleId=113121,https://shared-comic.pstatic.net/thumb/webtoon/113121/thumbnail/title_thumbnail_20091224164002_t83x90.jpg,2010.03.19,episode,None,None,None,None,None,None,None,None,sensibility,None,None,None,0,13,11844,9.890769230769232,1115
14,316914,혈액형에 관한 간단한 고찰,박동선,9.89,https://comic.naver.com/webtoon/list.nhn?titleId=316914,https://shared-comic.pstatic.net/thumb/webtoon/316914/thumbnail/title_thumbnail_20110401184237_t83x90.jpg,2015.02.27,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,226,1061811,9.890486725663727,63854
15,26101,와탕카2,우주인,8.97,https://comic.naver.com/webtoon/list.nhn?titleId=26101,https://shared-comic.pstatic.net/thumb/webtoon/26101/thumbnail/thumbnail_title_26101_83x90.gif,2008.11.27,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,114,208571,9.239210526315793,95
16,70046,실질객관동화,무적핑크,9.9,https://comic.naver.com/webtoon/list.nhn?titleId=70046,https://shared-comic.pstatic.net/thumb/webtoon/70046/thumbnail/title_thumbnail_20090605171412_t83x90.jpg,2012.07.25,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,191,521723,9.908631578947386,12132
17,563782,아랫집 시누이,김진,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=563782,https://shared-comic.pstatic.net/thumb/webtoon/563782/thumbnail/title_thumbnail_20130607184714_t83x90.jpg,2013.12.22,episode,None,None,daily,None,None,None,None,None,None,None,None,None,0,57,282631,9.94894736842105,21534
18,20853,마음의소리,조석,9.86,https://comic.naver.com/webtoon/list.nhn?titleId=20853,https://shared-comic.pstatic.net/thumb/webtoon/20853/thumbnail/thumbnail_title_20853_83x90.gif,2018.07.09,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,1150,11492534,9.877139130434728,1200998
19,26144,취업의소리,"조석,워니",9.15,https://comic.naver.com/webtoon/list.nhn?titleId=26144,https://shared-comic.pstatic.net/thumb/webtoon/26144/thumbnail/thumbnail_title_26144_83x90.gif,2008.06.24,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,8,18912,9.1625,83
20,55169,나이스진타임,김진,9.85,https://comic.naver.com/webtoon/list.nhn?titleId=55169,https://shared-comic.pstatic.net/thumb/webtoon/55169/thumbnail/title_thumbnail_20091106193634_t83x90.jpg,2010.09.30,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,181,426939,9.864696132596704,15983
21,52946,스쿨홀릭,신의철,9.89,https://comic.naver.com/webtoon/list.nhn?titleId=52946,https://shared-comic.pstatic.net/thumb/webtoon/52946/thumbnail/title_thumbnail_20110930124525_t83x90.jpg,2009.10.31,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,1,110,271198,9.91390909090908,9084
22,710751,약한영웅,서패스/김진석,9.76,https://comic.naver.com/webtoon/list.nhn?titleId=710751,https://shared-comic.pstatic.net/thumb/webtoon/710751/thumbnail/thumbnail_IMAG10_ca8874a5-25e5-492b-b1f3-ba4a52c2f3bf.jpg,2018.09.01,episode,None,None,None,None,None,action,None,None,None,None,None,None,0,18,38838,9.800555555555555,79084
23,651664,밥 먹고 갈래요?,오묘,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=651664,https://shared-comic.pstatic.net/thumb/webtoon/651664/thumbnail/title_thumbnail_20150326153630_t83x90.jpg,2018.08.30,episode,None,None,None,None,None,None,drama,None,sensibility,None,None,None,0,169,919416,9.973846153846173,366990
24,632342,오늘 밤은 어둠이 무서워요,김진,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=632342,https://shared-comic.pstatic.net/thumb/webtoon/632342/thumbnail/title_thumbnail_20140921225747_t83x90.jpg,2015.03.17,episode,None,None,daily,None,None,None,None,None,None,None,None,None,0,52,244203,9.95384615384615,134524
25,55143,일상날개짓,나유진,9.94,https://comic.naver.com/webtoon/list.nhn?titleId=55143,https://shared-comic.pstatic.net/thumb/webtoon/55143/thumbnail/title_thumbnail_20120329122039_t83x90.jpg,2013.05.19,episode,None,None,daily,None,None,None,None,None,sensibility,None,None,None,0,267,1647918,9.941535580524361,13217
26,609477,소년들은 무엇을 하고 있을까,컷부,9.41,https://comic.naver.com/webtoon/list.nhn?titleId=609477,https://shared-comic.pstatic.net/thumb/webtoon/609477/thumbnail/title_thumbnail_20140120102230_t83x90.jpg,2014.11.04,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,125,2581191,9.434320000000001,199224
27,50422,개편 축하 릴레이 카툰,네이버웹툰작가,9.55,https://comic.naver.com/webtoon/list.nhn?titleId=50422,https://shared-comic.pstatic.net/thumb/webtoon/50422/thumbnail/title_thumbnail_20081030133244_t83x90.gif,2008.11.11,episode,None,None,None,None,None,None,None,None,None,None,None,None,0,15,19501,9.508666666666667,116
28,642598,조선왕조실톡,무적핑크,9.88,https://comic.naver.com/webtoon/list.nhn?titleId=642598,https://shared-comic.pstatic.net/thumb/webtoon/642598/thumbnail/title_thumbnail_20160117000448_t83x90.jpg,2018.09.04,episode,None,None,None,comic,None,None,None,None,None,None,historical,None,0,346,682688,9.947225433526,271
29,92106,와라편의점 the anim...,와라패밀리,9.76,https://comic.naver.com/webtoon/list.nhn?titleId=92106,https://shared-comic.pstatic.net/thumb/webtoon/92106/thumbnail/title_thumbnail_20091105231539_t83x90.jpg,2010.04.02,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,24,149796,9.710833333333333,404097
30,710754,화장 지워주는 남자,이연,9.82,https://comic.naver.com/webtoon/list.nhn?titleId=710754,https://shared-comic.pstatic.net/thumb/webtoon/710754/thumbnail/thumbnail_IMAG10_88e596b9-3712-4ff4-95a7-280b663200ae.jpg,2018.08.30,episode,None,None,None,None,None,None,None,None,None,None,None,None,0,18,58547,9.866666666666667,140003
31,650304,슈퍼 시크릿,이온,9.98,https://comic.naver.com/webtoon/list.nhn?titleId=650304,https://shared-comic.pstatic.net/thumb/webtoon/650304/thumbnail/title_thumbnail_20150323144620_t83x90.jpg,2018.01.29,episode,None,None,None,None,fantasy,None,None,pure,sensibility,None,None,None,0,144,418844,9.98465277777779,396081
32,316912,내 어린고양이와 늙은개,초,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=316912,https://shared-comic.pstatic.net/thumb/webtoon/316912/thumbnail/title_thumbnail_20110404174155_t83x90.jpg,2013.01.19,episode,None,None,daily,None,None,None,None,None,sensibility,None,None,None,1,7,31201,9.902857142857144,14289
33,599232,실질객관영화,무적핑크,9.72,https://comic.naver.com/webtoon/list.nhn?titleId=599232,https://shared-comic.pstatic.net/thumb/webtoon/599232/thumbnail/title_thumbnail_20131108182621_t83x90.jpg,2014.05.05,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,26,181536,9.77,24323
34,695321,빙탕후루,장희/주호민,9.98,https://comic.naver.com/webtoon/list.nhn?titleId=695321,https://shared-comic.pstatic.net/thumb/webtoon/695321/thumbnail/thumbnail_IMAG10_ed636544-e826-4b9b-96f2-fce37c9f8e54.jpg,2018.09.03,episode,None,None,None,None,fantasy,None,drama,None,None,None,historical,None,0,72,77545,9.979444444444454,137734
35,81482,놓지마 정신줄,신태훈/나승훈,9.92,https://comic.naver.com/webtoon/list.nhn?titleId=81482,https://shared-comic.pstatic.net/thumb/webtoon/81482/thumbnail/title_thumbnail_20131025191135_t83x90.jpg,2016.07.25,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,719,5419562,9.930403337969338,536081
36,703850,자판귀,윤정민,9.96,https://comic.naver.com/webtoon/list.nhn?titleId=703850,https://shared-comic.pstatic.net/thumb/webtoon/703850/thumbnail/thumbnail_IMAG10_d093ab2d-a006-457b-92b5-1da097bc3af1.jpg,2018.09.03,episode,None,None,None,None,None,None,None,None,sensibility,thrill,None,None,0,26,55588,9.964230769230767,181934
37,150389,스마일브러시,와루,9.94,https://comic.naver.com/webtoon/list.nhn?titleId=150389,https://shared-comic.pstatic.net/thumb/webtoon/150389/thumbnail/title_thumbnail_20100610110221_t83x90.jpg,2010.06.26,episode,None,None,daily,None,None,None,None,None,sensibility,None,None,None,0,39,54305,9.942564102564102,106414
38,654331,썸남,배철완,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=654331,https://shared-comic.pstatic.net/thumb/webtoon/654331/thumbnail/title_thumbnail_20150508221630_t83x90.jpg,2016.09.28,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,73,190819,9.968493150684942,1633
39,675554,가우스전자 시즌3~4,곽백수,9.97,https://comic.naver.com/webtoon/list.nhn?titleId=675554,https://shared-comic.pstatic.net/thumb/webtoon/675554/thumbnail/thumbnail_IMAG10_66613407-1041-4f4f-ad8a-1983361f932e.jpg,2018.09.04,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,610,308491,9.973612479474488,162251
40,682637,놓지마 정신줄 시즌2,신태훈/나승훈,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=682637,https://shared-comic.pstatic.net/thumb/webtoon/682637/thumbnail/title_thumbnail_20160729190602_t83x90.jpg,2018.09.03,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,218,1081016,9.951009174311949,167714
41,395444,"이현세, 이두호의 지옥캠프...",웹툰작가,9.81,https://comic.naver.com/webtoon/list.nhn?titleId=395444,https://shared-comic.pstatic.net/thumb/webtoon/395444/thumbnail/title_thumbnail_20111014161835_t83x90.jpg,2011.12.18,episode,None,None,None,None,fantasy,None,None,None,None,None,None,None,0,10,16777,9.779,260321
42,22073,까뱅,X-TEAM,8.79,https://comic.naver.com/webtoon/list.nhn?titleId=22073,https://shared-comic.pstatic.net/thumb/webtoon/22073/thumbnail/thumbnail_title_22073_83x90.gif,2007.02.23,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,32,19957,8.795625000000003,2685
43,711422,삼국지톡,무적핑크/이리,9.96,https://comic.naver.com/webtoon/list.nhn?titleId=711422,https://shared-comic.pstatic.net/thumb/webtoon/711422/thumbnail/thumbnail_IMAG10_c2333dc0-c699-41e4-8507-6b4bcd16b903.jpg,2018.09.03,episode,None,None,None,comic,None,None,None,None,None,None,historical,None,0,33,136428,9.965757575757575,62287
44,24777,구석구석캠페인,네이버웹툰작가,9.23,https://comic.naver.com/webtoon/list.nhn?titleId=24777,https://shared-comic.pstatic.net/thumb/webtoon/24777/thumbnail/thumbnail_title_24777_83x90.gif,2008.03.06,episode,None,None,daily,None,None,None,None,None,None,None,None,None,0,24,29590,9.265833333333331,103979
45,675556,2016 학교 다녀오겠습니다,웹툰작가,9.41,https://comic.naver.com/webtoon/list.nhn?titleId=675556,https://shared-comic.pstatic.net/thumb/webtoon/675556/thumbnail/title_thumbnail_20160307225408_t83x90.jpg,2016.05.03,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,17,216859,9.411176470588238,36
46,710756,일진에게 회초리,유승연,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=710756,https://shared-comic.pstatic.net/thumb/webtoon/710756/thumbnail/thumbnail_IMAG10_af763a48-1b08-495e-b16a-a666ca931e38.jpg,2018.09.02,episode,None,None,None,None,None,None,None,None,None,None,None,None,0,16,34054,9.95,68
47,713581,내 여자친구는 상남자,맛스타,9.92,https://comic.naver.com/webtoon/list.nhn?titleId=713581,https://shared-comic.pstatic.net/thumb/webtoon/713581/thumbnail/thumbnail_IMAG10_fce3c3c1-2356-4916-aba2-0f561f579c1c.jpg,2018.09.02,episode,None,None,daily,comic,fantasy,None,drama,pure,None,None,None,None,0,17,96665,9.925294117647056,68511
48,604147,터치! 메리크리스마스,웹툰작가,9.78,https://comic.naver.com/webtoon/list.nhn?titleId=604147,https://shared-comic.pstatic.net/thumb/webtoon/604147/thumbnail/title_thumbnail_20131217181504_t83x90.jpg,2014.01.07,episode,None,None,daily,comic,None,None,drama,pure,sensibility,thrill,None,None,0,10,33117,9.749,145085
49,702672,노곤하개,홍끼,9.98,https://comic.naver.com/webtoon/list.nhn?titleId=702672,https://shared-comic.pstatic.net/thumb/webtoon/702672/thumbnail/thumbnail_IMAG10_4313f60c-b034-49ae-9edc-877c859b64f3.jpg,2018.09.03,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,69,276913,9.9840579710145,3372
50,400738,부토,정현주,9.92,https://comic.naver.com/webtoon/list.nhn?titleId=400738,https://shared-comic.pstatic.net/thumb/webtoon/400738/thumbnail/title_thumbnail_20111128185258_t83x90.jpg,2012.04.24,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,43,85546,9.922790697674419,2749
51,671421,언덕 위의 제임스,쿠당탕,9.91,https://comic.naver.com/webtoon/list.nhn?titleId=671421,https://shared-comic.pstatic.net/thumb/webtoon/671421/thumbnail/thumbnail_IMAG10_b0f7d54d-f2f8-4b8e-a521-f8dd96ff65f1.jpg,2018.09.04,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,138,314939,9.922481751824826,21840
